"id";"lavNumber";"name";"type";"result";"anchor";"anchorRule";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"1-260-22-moorgraben-cheinitz-bruchau";"1-260-22";"Moorgraben Cheinitz/Brüchau";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-420-08-elbe-km-392-402-linksseitig";"2-420-08";"Elbe km 392 - 402 linksseitig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-421-01-dollgraben";"2-421-01";"Dollgraben";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-421-05-bertinger-see";"2-421-05";"Bertinger See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-421-11-elbe-km-372-4-km-378-linksseitig";"2-421-11";"Elbe km 372, 4 – km 378 linksseitig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-422-12-elbe-km-386-392-beidseitig-km-391-392";"2-422-12";"Elbe km 386-392 beidseitig, km 391-392";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-424-03-griebener-see";"2-424-03";"Griebener See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"3-200-12-ehemalige-schweineweide-bei";"3-200-12";"Ehemalige Schweineweide bei";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"3-200-42-aller-von-bab-2-bis-landesgrenze";"3-200-42";"Aller von BAB 2 bis Landesgrenze";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"3-200-50-speicher-an-der-krummbeck";"3-200-50";"Speicher an der Krummbeck";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-130-33-gr-gehrenscher-see";"4-130-33";"Gr. Gehrenscher See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-130-36-mittellandkanal-km-322-82-km-324-46-a-bl-k-pl-z-5-31-nordufer";"4-130-36";"Mittellandkanal km 322,82 - km 324,46 A, Bl, K, Pl, Z 5,31 Nordufer";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-170-08-altenplatower-altkanal";"4-170-08";"Altenplatower-Altkanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-170-11-tucheim-parchener-bach-vom-ringels";"4-170-11";"Tucheim-Parchener-Bach vom Ringels-";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-170-12-torschiffahrtskanal-vom-wehr-mutzel-bis-a-b-bl-h-pl-qu-3-00-zur-mundung-in-den-fiener-haupvorfluter";"4-170-12";"Torschiffahrtskanal vom Wehr Mützel bis A, B, Bl, H, Pl, Qu 3,00 zur Mündung in den Fiener Haupvorfluter";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-171-05-alte-elbe-mit-tunnel-und";"4-171-05";"Alte Elbe mit Tunnel und";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-173-01-bergzower-altkanal-vom-abzweig";"4-173-01";"Bergzower Altkanal vom Abzweig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-280-01-umflutehle-von-einmundung-der";"4-280-01";"Umflutehle von Einmündung der";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-490-04-dornburger-see";"4-490-04";"Dornburger See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-491-03-lubser-see";"4-491-03";"Lübser See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-492-01-pappelteich-bei-hobeck";"4-492-01";"Pappelteich bei Hobeck";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-101-02-pappelteich-ermsleben";"5-101-02";"Pappelteich Ermsleben";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-101-03-burgteich-ermsleben";"5-101-03";"Burgteich Ermsleben";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-03-bode-vom-einlauf-des-goldbaches";"5-190-03";"Bode vom Einlauf des Goldbaches";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-06-groer-graben-vom-zusammenfluss";"5-190-06";"Großer Graben vom Zusammenfluss";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-340-08-kiesgrube-bei-dittfurt";"5-340-08";"Kiesgrube bei Dittfurt";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-340-09-bode-vom-einlauf-des-quarmbaches";"5-340-09";"Bode vom Einlauf des Quarmbaches";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-450-04-mulmker-parkteiche";"5-450-04";"Mulmker Parkteiche";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-01-bruchfeldsee-wilslebener-see";"6-100-01";"Bruchfeldsee (Wilslebener See)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-02-tonkuhle-badetonkuhle-in-aschersleben-a-h-k-pl-ro-s-0-30";"6-100-02";"Tonkuhle (Badetonkuhle) in Aschersleben A, H, K, Pl, Ro, S 0,30";"See";"review";"S 0,30";"suffix2";"250.0";"Friedhofsteich";"4";"0.000";"564.6";"v11-Ortsanker 'S 0,30' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-100-04-birkenweiher-gatersleben";"6-100-04";"Birkenweiher Gatersleben";"See";"review";"Gatersleben";"suffix1";"3.6";"";"3";"0.000";"155.5";"v11-Ortsanker 'Gatersleben' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-100-07-hauptseegraben-von-einmundung";"6-100-07";"Hauptseegraben von Einmündung";"Fließgewässer";"review";"von";"suffix2";"315.0";"";"7";"0.000";"60.9";"v11-Ortsanker 'von' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-100-10-wipper-von-letzter-brucke-klein";"6-100-10";"Wipper von letzter Brücke Klein";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
